DOI,Year,Title,Journal,Reason
10.1016/j.applthermaleng.2023.122158,2024,Mixed air temperature reset by data-driven model for optimal economizer control,Applied Thermal Engineering,KEEP – operational EE/control
10.1016/j.apenergy.2024.123969,2024,Economic model predictive control for building HVAC system: A comparative analysis of model-based and data-driven approaches using the BOPTEST Framework,Applied Energy,KEEP – operational EE/control
10.1016/j.jobe.2024.109887,2024,Real-time spatial-temporal mapping and visualization of thermal comfort and HVAC control by integrating immersive augmented reality technologies and IoT-enabled wireless sensor networks: Towards immersive human-building interactions,Journal of Building Engineering,KEEP – operational EE/control
10.1016/j.energy.2024.130507,2024,Effects of different zoning thermostat controls on thermal comfort and cooling energy consumption in reading rooms of a library,Energy,KEEP – operational EE/control
10.1016/j.enbuild.2024.113895,2024,Real-life data-driven model predictive control for building energy systems comparing different machine learning models,Energy and Buildings,KEEP – operational EE/control
10.1016/j.apenergy.2023.122258,2024,A data-driven DRL-based home energy management system optimization framework considering uncertain household parameters,Applied Energy,KEEP – operational EE/control
10.1016/j.enbuild.2024.114310,2024,Impact of practical challenges on the implementation of data-driven services for building operation: Insights from a real-life case study,Energy and Buildings,KEEP – operational EE/control
10.1016/j.enbuild.2024.114741,2024,Investigating the influence of uncertainty on office building energy simulation through occupant-centric control and thermal comfort integration,Energy and Buildings,KEEP – operational EE/control
10.1016/j.apenergy.2024.122627,2024,Optimization control strategy for mixed-mode buildings based on thermal comfort model: A case study of office buildings,Applied Energy,KEEP – operational EE/control
10.1016/j.enbuild.2024.114806,2024,Thermal comfort driven space heating control via hierarchical state machine strategy interacting with multiphysics simulation,Energy and Buildings,KEEP – operational EE/control
10.1016/j.apenergy.2023.122493,2024,Data-driven adaptive building thermal controller tuning with constraints: A primal–dual contextual Bayesian optimization approach,Applied Energy,KEEP – operational EE/control
10.1016/j.energy.2024.132440,2024,Energy efficiency and indoor thermal comfort of railway carriages: Development of an innovative passenger-centric-control framework for HVAC systems,Energy,KEEP – operational EE/control
10.1016/j.enbuild.2024.114497,2024,Investigating enhanced thermal comfort and energy efficiency through strategized airflow in Micro-Zonal Occupant-Centric Control (MZOCC),Energy and Buildings,KEEP – operational EE/control
10.1016/j.enbuild.2024.114803,2024,A novel model to detect abnormal thermal energy consumption in existing buildings with limited metering infrastructure,Energy and Buildings,Eliminated – unclear/other
10.1016/j.energy.2024.131396,2024,Energy-efficiency oriented occupancy space optimization in buildings: A data-driven approach based on multi-sensor fusion considering behavior-environment integration,Energy,KEEP – operational EE/control
10.1016/j.enbuild.2024.114898,2024,"Hybrid modeling based on integrating simulation and operational data to improve indoor air temperature predictions, a controlled variable in digital twin models",Energy and Buildings,KEEP – operational EE/control
10.1016/j.jobe.2024.109028,2024,AHU sensor fault diagnosis in various operating conditions based on a hybrid data-driven model combined energy consumption,Journal of Building Engineering,Eliminated – unclear/other
10.1016/j.enbuild.2024.114073,2024,"Cooling operation strategies in a typical neighborhood mosque: A Case study on electricity consumption, CO<ce:inf loc=post>2</ce:inf> emissions, and thermal comfort",Energy and Buildings,KEEP – operational EE/control
10.1016/j.aei.2024.102643,2024,Automated data-driven method for creating digital building models from dense point clouds and images through semantic segmentation and parametric model fitting,Advanced Engineering Informatics,Eliminated – unclear/other
