DOI,Year,Title,Journal,Reason
10.1016/j.enbuild.2020.110484,2020,Automated in-situ determination of buildings’ global thermo-physical characteristics and air change rates through inverse modelling of smart meter and air temperature data,Energy and Buildings,Eliminated – unclear/other
10.1016/j.buildenv.2020.106931,2020,On the development of a simplified model for thermal comfort control of split systems,Building and Environment,KEEP – operational EE/control
10.1016/j.enbuild.2020.109807,2020,The use of artificial intelligence (AI) methods in the prediction of thermal comfort in buildings: energy implications of AI-based thermal comfort controls,Energy and Buildings,KEEP – operational EE/control
10.1016/j.enbuild.2019.109582,2020,"Comparison of mean radiant and air temperatures in mechanically-conditioned commercial buildings from over 200,000 field and laboratory measurements",Energy and Buildings,Eliminated – unclear/other
10.1016/j.apenergy.2020.114882,2020,Energy saving potentials of integrating personal thermal comfort models for control of building systems: Comprehensive quantification through combinatorial consideration of influential parameters,Applied Energy,KEEP – operational EE/control
10.1016/j.apenergy.2020.114771,2020,Retail electricity pricing via online-learning of data-driven demand response of HVAC systems,Applied Energy,KEEP – operational EE/control
10.1016/j.buildenv.2020.107338,2020,A systematic feature extraction and selection framework for data-driven whole-building automated fault detection and diagnostics in commercial buildings,Building and Environment,KEEP – operational EE/control
10.1016/j.enbuild.2020.110493,2020,Data-driven hybrid model and operating algorithm to shave peak demand costs of building electricity,Energy and Buildings,Eliminated – unclear/other
10.1016/j.measurement.2019.106997,2020,The application of thermal comfort control based on Smart House System of IoT,Measurement,KEEP – operational EE/control
10.1016/j.apenergy.2020.115834,2020,"A data-driven approach for multi-scale GIS-based building energy modeling for analysis, planning and support decision making",Applied Energy,Eliminated – Planning/Top-down
10.1016/j.enbuild.2020.109792,2020,Experimental demonstration of data predictive control for energy optimization and thermal comfort in buildings,Energy and Buildings,KEEP – operational EE/control
10.1016/j.apenergy.2020.114715,2020,Unsupervised learning of energy signatures to identify the heating system and building type using smart meter data,Applied Energy,Eliminated – unclear/other
10.1016/j.enbuild.2020.109785,2020,Assessment of the impact of HVAC system configuration and control zoning on thermal comfort and energy efficiency in flexible office spaces,Energy and Buildings,KEEP – operational EE/control
10.1016/j.enbuild.2020.109892,2020,"The good, the bad, and the ugly: Data-driven load profile discord identification in a large building portfolio",Energy and Buildings,Eliminated – unclear/other
10.1016/j.autcon.2020.103411,2020,Unified architecture for data-driven metadata tagging of building automation systems,Automation in Construction,Eliminated – unclear/other
10.1016/j.buildenv.2020.106867,2020,Coupled thermal comfort control of thermal condition profile of air distribution and thermal preferences,Building and Environment,KEEP – operational EE/control
10.1016/j.apenergy.2020.115451,2020,Data-driven control of micro-climate in buildings: An event-triggered reinforcement learning approach,Applied Energy,KEEP – operational EE/control
10.1016/j.energy.2020.117328,2020,An energy-saving control strategy for multi-zone demand controlled ventilation system with data-driven model and air balancing control,Energy,KEEP – operational EE/control
10.1016/j.apenergy.2020.114965,2020,Data-driven estimation of building energy consumption with multi-source heterogeneous data,Applied Energy,Eliminated – Monitoring/Forecasting only
10.1016/j.buildenv.2020.107018,2020,"Multi-objective optimization of HVAC control in museum environment for artwork preservation, visitors’ thermal comfort and energy efficiency",Building and Environment,KEEP – operational EE/control
10.1016/j.apenergy.2020.115147,2020,Model predictive control with adaptive machine-learning-based model for building energy efficiency and comfort optimization,Applied Energy,KEEP – operational EE/control
10.1016/j.energy.2020.118456,2020,Centralized model predictive control strategy for thermal comfort and residential energy management,Energy,KEEP – operational EE/control
10.1016/j.buildenv.2019.106612,2020,Optimization of energy saving with adaptive setpoint temperatures by calculating the prevailing mean outdoor air temperature,Building and Environment,Eliminated – unclear/other
10.1016/j.rser.2019.109593,2020,Learning occupants’ indoor comfort temperature through a Bayesian inference approach for office buildings in United States,Renewable and Sustainable Energy Reviews,KEEP – operational EE/control
10.1016/j.enbuild.2019.109542,2020,Self-learning model predictive control for dynamic activation of structural thermal mass in residential buildings,Energy and Buildings,KEEP – operational EE/control
10.1016/j.buildenv.2019.106477,2020,Application of building geometry indexes to assess the correlation between buildings and air temperature,Building and Environment,Eliminated – unclear/other
10.1016/j.jobe.2019.101030,2020,Estimation of energy savings potential through hydraulic balancing of heating systems in buildings,Journal of Building Engineering,Eliminated – Monitoring/Forecasting only
10.1016/j.scitotenv.2020.138965,2020,The impact of long-term changes in air temperature on renewable energy in Poland,Science of The Total Environment,Eliminated – Renewable-only
10.1016/j.enbuild.2020.110223,2020,Field study of a self-regulating active beam system for simultaneous heating and cooling of office buildings,Energy and Buildings,Eliminated – unclear/other
10.1016/j.apenergy.2020.115426,2020,An uncertainty-aware deep reinforcement learning framework for residential air conditioning energy management,Applied Energy,KEEP – operational EE/control
10.1016/j.buildenv.2020.106768,2020,Modeling occupant behavior in buildings,Building and Environment,KEEP – operational EE/control
10.1016/j.enbuild.2019.109704,2020,Impact of unoccupied flats on the thermal discomfort and energy demand: Case of a multi-residential building,Energy and Buildings,KEEP – operational EE/control
10.1016/j.enbuild.2020.110399,2020,Application of smart wearable sensors in office buildings for modelling of occupants’ metabolic responses,Energy and Buildings,KEEP – operational EE/control
10.1016/j.buildenv.2020.107289,2020,Influences of occupant ventilation-behavior during off-periods on indoor thermal environment in intermittently heated buildings,Building and Environment,KEEP – operational EE/control
10.1016/j.jclepro.2019.119866,2020,Transfer learning with deep neural networks for model predictive control of HVAC and natural ventilation in smart buildings,Journal of Cleaner Production,KEEP – operational EE/control
10.1016/j.enbuild.2020.110349,2020,Simulation and optimization of the operation strategy of ASHP heating system: A case study in Tianjin,Energy and Buildings,KEEP – operational EE/control
10.1016/j.enbuild.2020.109872,2020,Development and validation of a smart HVAC control system for multi-occupant offices by using occupants’ physiological signals from wristband,Energy and Buildings,KEEP – operational EE/control
10.1016/j.apenergy.2019.114199,2020,Large-scale industrial energy systems optimization under uncertainty: A data-driven robust optimization approach,Applied Energy,Eliminated – Other/Industry
10.1016/j.buildenv.2019.106535,2020,Towards optimal control of air handling units using deep reinforcement learning and recurrent neural network,Building and Environment,KEEP – operational EE/control
10.1016/j.buildenv.2020.107153,2020,An integrated low-energy ventilation system to improve indoor environment performance of school buildings in the cold climate zone of China,Building and Environment,Eliminated – Ventilation/IAQ only
10.1016/j.apenergy.2019.114416,2020,Machine-learning based hybrid demand-side controller for high-rise office buildings with high energy flexibilities,Applied Energy,KEEP – operational EE/control
10.1016/j.enbuild.2020.110317,2020,User comfort driven time-table linked AHU scheduling for ancillary service maximization of an educational building,Energy and Buildings,KEEP – operational EE/control
10.1016/j.enbuild.2020.110319,2020,Optimization of night ventilation performance in office buildings in a cold climate,Energy and Buildings,Eliminated – Ventilation/IAQ only
10.1016/j.apenergy.2019.113920,2020,Experimental study of model predictive control for an air-conditioning system with dedicated outdoor air system,Applied Energy,KEEP – operational EE/control
10.1016/j.apenergy.2020.115765,2020,Model predictive control for energy-efficient HVAC operation with humidity and latent heat considerations,Applied Energy,KEEP – operational EE/control
10.1016/j.enbuild.2020.110272,2020,Energy analysis of three ventilation systems for a large machining plant,Energy and Buildings,Eliminated – Ventilation/IAQ only
10.1016/j.enbuild.2019.109686,2020,Estimating electricity impact profiles for building characteristics using smart meter data and mixed models,Energy and Buildings,Eliminated – unclear/other
10.1016/j.buildenv.2020.106933,2020,"The influence of acclimatization, age and gender-related differences on thermal perception in university buildings: Case studies in Scotland and England",Building and Environment,Eliminated – unclear/other
10.1016/j.apenergy.2020.114966,2020,Multi-parameter performance optimization for whole year operation of stratum ventilation in offices,Applied Energy,KEEP – operational EE/control
10.1016/j.enbuild.2020.109831,2020,State-of-the-art on research and applications of machine learning in the building life cycle,Energy and Buildings,Eliminated – unclear/other
10.1016/j.jobe.2020.101349,2020,"Heat cost allocation in buildings: Possibilities, problems and solutions",Journal of Building Engineering,Eliminated – unclear/other
10.1016/j.scs.2020.102257,2020,Coupling CFD and building energy modelling to optimize the operation of a large open office space for occupant comfort,Sustainable Cities and Society,KEEP – operational EE/control
10.1016/j.enbuild.2020.110056,2020,Multi-zone field study of rule extraction control to simplify implementation of predictive control to reduce building energy use,Energy and Buildings,KEEP – operational EE/control
10.1016/j.enbuild.2020.109861,2020,Energy-saving building system integration with a smart and low-cost sensing/control network for sustainable and healthy living environments: Demonstration case study,Energy and Buildings,KEEP – operational EE/control
10.1016/j.enbuild.2020.110086,2020,Dynamic indoor comfort temperature settings based on the variation in clothing insulation and its energy-saving potential for an air-conditioning system,Energy and Buildings,Eliminated – Materials/Envelope
10.1016/j.enbuild.2020.110308,2020,Performance of advanced control sequences in handling uncertainty in energy use and indoor environmental quality using uncertainty and sensitivity analysis for control components,Energy and Buildings,KEEP – operational EE/control
10.1016/j.energy.2020.117525,2020,First results of remote building characterisation based on smart meter measurement data,Energy,Eliminated – unclear/other
10.1016/j.enbuild.2020.110494,2020,On the potential of building adaptation measures to counterbalance the impact of climatic change in the tropics,Energy and Buildings,Eliminated – unclear/other
10.1016/j.jobe.2019.101023,2020,Bilinear model-based diagnosis of lock-in-place failures of variable-air-volume HVAC systems of multizone buildings,Journal of Building Engineering,Eliminated – unclear/other
10.1016/j.scs.2019.101908,2020,Identification of the optimal control strategies for the energy-efficient ventilation under the model predictive control,Sustainable Cities and Society,KEEP – operational EE/control
10.1016/j.buildenv.2020.106738,2020,Introducing IEA EBC annex 79: Key challenges and opportunities in the field of occupant-centric building design and operation,Building and Environment,KEEP – operational EE/control
10.1016/j.enbuild.2019.109575,2020,Break-point statistical model for building heating hot water consumption with constant volume reheat systems,Energy and Buildings,Eliminated – unclear/other
10.1016/j.enbuild.2020.109936,2020,The colours of comfort: From thermal sensation to person-centric thermal zones for adaptive building strategies,Energy and Buildings,Eliminated – unclear/other
10.1016/j.enbuild.2020.110226,2020,Comparison of linear and nonlinear statistical models for analyzing determinants of residential energy consumption,Energy and Buildings,Eliminated – unclear/other
10.1016/j.enbuild.2020.109898,2020,Framework for model predictive control (MPC)-based surface condensation prevention for thermo-active building systems (TABS),Energy and Buildings,KEEP – operational EE/control
10.1016/j.enbuild.2020.109822,2020,Ventilation measures for heritage office buildings in temperate climate for improvement of energy performance and IEQ,Energy and Buildings,Eliminated – Ventilation/IAQ only
10.1016/j.buildenv.2020.107115,2020,People’s adaptation to thermal conditions inside buildings for religious practice,Building and Environment,Eliminated – unclear/other
10.1016/j.enbuild.2019.109648,2020,Defining the thermal sensitivity (Griffiths constant) of building occupants in the Korean residential context,Energy and Buildings,KEEP – operational EE/control
10.1016/j.apenergy.2019.114174,2020,Dynamic modeling and economic model predictive control of a liquid desiccant air conditioning,Applied Energy,KEEP – operational EE/control
10.1016/j.jobe.2020.101464,2020,An automated framework for buildings continuous commissioning and performance testing – A university building case study,Journal of Building Engineering,Eliminated – unclear/other
10.1016/j.jclepro.2020.122059,2020,Optimal price based control of HVAC systems in multizone office buildings for demand response,Journal of Cleaner Production,KEEP – operational EE/control
10.1016/j.enbuild.2019.109737,2020,Optimal heating start and stop control based on the inferred occupancy schedule in a household with radiant floor heating system,Energy and Buildings,KEEP – operational EE/control
10.1016/j.buildenv.2019.106596,2020,Building occupants' psycho-physiological response to indoor climate and CO<ce:inf loc=post>2</ce:inf> concentration changes in office buildings,Building and Environment,KEEP – operational EE/control
10.1016/j.enbuild.2020.109955,2020,Analysis methods for characterizing energy saving opportunities from home automation devices using smart meter data,Energy and Buildings,Eliminated – unclear/other
10.1016/j.jobe.2020.101651,2020,Studies on the thermal environment and natural ventilation in the industrial building spaces enclosed by fabric membranes: A case study,Journal of Building Engineering,Eliminated – Ventilation/IAQ only
10.1016/j.energy.2020.118411,2020,Energy management and demand response with intelligent learning for multi-thermal-zone buildings,Energy,KEEP – operational EE/control
10.1016/j.buildenv.2020.106848,2020,Current practices and infrastructure for open data based research on occupant-centric design and operation of buildings,Building and Environment,KEEP – operational EE/control
10.1016/j.rser.2020.109861,2020,On the assessment and control optimisation of demand response programs in residential buildings,Renewable and Sustainable Energy Reviews,KEEP – operational EE/control
10.1016/j.aei.2020.101187,2020,A statistically based fault detection and diagnosis approach for non-residential building water distribution systems,Advanced Engineering Informatics,KEEP – operational EE/control
10.1016/j.energy.2019.116838,2020,Quantifying uncertainty in the aggregate energy flexibility of high-rise residential building clusters considering stochastic occupancy and occupant behavior,Energy,KEEP – operational EE/control
10.1016/j.enbuild.2019.109576,2020,An efficient metamodel-based method to carry out multi-objective building performance optimizations,Energy and Buildings,Eliminated – unclear/other
10.1016/j.apenergy.2020.115036,2020,Reinforcement learning for building controls: The opportunities and challenges,Applied Energy,KEEP – operational EE/control
10.1016/j.scs.2019.101944,2020,Influence of adaptive energy saving techniques on office buildings located in cities of the Iberian Peninsula,Sustainable Cities and Society,Eliminated – unclear/other
10.1016/j.scs.2019.101815,2020,A sensitivity analysis on the heating and cooling energy flexibility of residential buildings,Sustainable Cities and Society,KEEP – operational EE/control
10.1016/j.buildenv.2020.106712,2020,Vegetation in different street orientations of aspect ratio (H/W 1:1) to mitigate UHI and reduce buildings’ energy in arid climate,Building and Environment,Eliminated – unclear/other
10.1016/j.apenergy.2020.115727,2020,Nationwide HVAC energy-saving potential quantification for office buildings with occupant-centric controls in various climates,Applied Energy,KEEP – operational EE/control
10.1016/j.buildenv.2020.107273,2020,Design requirements for condensation-free operation of high-temperature cooling systems in mediterranean climate,Building and Environment,KEEP – operational EE/control
10.1016/j.buildenv.2020.107189,2020,"The impacts of building characteristics, social psychological and cultural factors on indoor environment quality productivity belief",Building and Environment,Eliminated – unclear/other
10.1016/j.enbuild.2020.110299,2020,Generating realistic building electrical load profiles through the Generative Adversarial Network (GAN),Energy and Buildings,Eliminated – unclear/other
10.1016/j.scs.2019.102011,2020,Impact of evolving building morphology on microclimate in a hot arid climate,Sustainable Cities and Society,Eliminated – unclear/other
10.1016/j.enbuild.2020.110225,2020,Deep reinforcement learning to optimise indoor temperature control and heating energy consumption in buildings,Energy and Buildings,KEEP – operational EE/control
10.1016/j.apenergy.2020.115337,2020,Performance characteristics of variable conductance loop thermosyphon for energy-efficient building thermal control,Applied Energy,KEEP – operational EE/control
10.1016/j.buildenv.2020.107190,2020,A smart and less intrusive feedback request algorithm towards human-centered HVAC operation,Building and Environment,KEEP – operational EE/control
10.1016/j.enbuild.2020.109794,2020,"Building as a virtual power plant, magnitude and persistence of deferrable loads and human comfort implications",Energy and Buildings,Eliminated – unclear/other
10.1016/j.jobe.2020.101385,2020,Optimizing thermal and visual efficiency using parametric configuration of skylights in heritage buildings,Journal of Building Engineering,Eliminated – unclear/other
10.1016/j.jclepro.2019.119306,2020,Energy saving potential in current and future world built environments based on the adaptive comfort approach,Journal of Cleaner Production,Eliminated – unclear/other
10.1016/j.apenergy.2020.114638,2020,A novel simulation-based framework for sensor error impact analysis in smart building systems: A case study for a demand-controlled ventilation system,Applied Energy,KEEP – operational EE/control
10.1016/j.enbuild.2020.109941,2020,A bi-directional missing data imputation scheme based on LSTM and transfer learning for building energy data,Energy and Buildings,Eliminated – unclear/other
10.1016/j.enbuild.2019.109563,2020,A practical artificial intelligence-based approach for predictive control in commercial and institutional buildings,Energy and Buildings,KEEP – operational EE/control
10.1016/j.apenergy.2019.114417,2020,Building occupant transient agent-based model – Movement module,Applied Energy,KEEP – operational EE/control
10.1016/j.jobe.2020.101400,2020,Studies on the mechanical properties and thermal behavior of microencapsulated eutectic mixture in gypsum composite board for thermal regulation in the buildings,Journal of Building Engineering,Eliminated – unclear/other
10.1016/j.buildenv.2020.107089,2020,Adaptive and distributed operation of HVAC systems: Energy and comfort implications of active diffusers as new adaptation capacities,Building and Environment,KEEP – operational EE/control
10.1016/j.buildenv.2020.106663,2020,Building climate zoning in China using supervised classification-based machine learning,Building and Environment,Eliminated – Monitoring/Forecasting only
10.1016/j.enbuild.2019.109604,2020,A grouped control strategy for the retrofit of post-war multi-unit residential building hydronic space heating systems,Energy and Buildings,KEEP – operational EE/control
10.1016/j.enbuild.2020.110228,2020,Unsupervised learning for feature projection: Extracting patterns from multidimensional building measurements,Energy and Buildings,Eliminated – unclear/other
10.1016/j.apenergy.2019.114374,2020,Empirical validation of building energy modeling for multi-zones commercial buildings in cooling season,Applied Energy,Eliminated – unclear/other
10.1016/j.enbuild.2020.110148,2020,Rear zone for energy efficiency in large mosques in Saudi Arabia,Energy and Buildings,Eliminated – unclear/other
10.1016/j.scs.2020.102034,2020,"Synergy of intelligent design and operation for sustainable residential heating systems, case study: Jordanian residential sector",Sustainable Cities and Society,KEEP – operational EE/control
10.1016/j.buildenv.2019.106506,2020,Identifying temporal properties of building components and indoor environment for building performance assessment,Building and Environment,Eliminated – unclear/other
10.1016/j.enbuild.2020.110222,2020,Disaggregation of commercial building end-uses with automation system data,Energy and Buildings,Eliminated – unclear/other
10.1016/j.apenergy.2020.114865,2020,Integration of completely passive cooling and heating systems with daylighting function into courtyard building towards energy saving,Applied Energy,Eliminated – unclear/other
10.1016/j.energy.2020.117715,2020,Operation of power distribution networks with new and flexible loads: A case of existing residential low voltage network,Energy,KEEP – operational EE/control
10.1016/j.autcon.2019.103043,2020,Wireless sensor network for estimating building performance,Automation in Construction,Eliminated – unclear/other
10.1016/j.renene.2020.03.099,2020,Integrated system efficiency in reducing redundancy and promoting residential renewable energy in countries without net-metering: A case study of a SHS in Ghana,Renewable Energy,Eliminated – Renewable-only
10.1016/j.enbuild.2020.110386,2020,A vision-based deep learning approach for the detection and prediction of occupancy heat emissions for demand-driven control solutions,Energy and Buildings,KEEP – operational EE/control
10.1016/j.solener.2020.09.062,2020,From existing neighbourhoods to net-zero energy and nearly zero carbon neighbourhoods in the tropical regions,Solar Energy,Eliminated – unclear/other
10.1016/j.buildenv.2019.106570,2020,"Multi-objective simulation-based optimization of controlled blind specifications to reduce energy consumption, and thermal and visual discomfort: Case studies in Iran",Building and Environment,KEEP – operational EE/control
10.1016/j.apenergy.2020.115324,2020,Model predictive control for supervising multiple rooftop unit economizers to fully leverage free cooling energy resource,Applied Energy,KEEP – operational EE/control
10.1016/j.buildenv.2020.107125,2020,The shape of days to come: Effects of climate change on low energy buildings,Building and Environment,Eliminated – Planning/Top-down
10.1016/j.apenergy.2020.115563,2020,Using a deep temporal convolutional network as a building energy surrogate model that spans multiple climate zones,Applied Energy,Eliminated – unclear/other
10.1016/j.enbuild.2020.110369,2020,Enhancing operational performance of AHUs through an advanced fault detection and diagnosis process based on temporal association and decision rules,Energy and Buildings,KEEP – operational EE/control
10.1016/j.enbuild.2019.109689,2020,Unsupervised learning for fault detection and diagnosis of air handling units,Energy and Buildings,KEEP – operational EE/control
10.1016/j.enbuild.2020.110060,2020,Determination of consumer behavior based energy wastage using IoT and machine learning,Energy and Buildings,Eliminated – unclear/other
10.1016/j.jobe.2019.101079,2020,High-performance building: Sensitivity analysis for simulating different combinations of components of a two-sided windcatcher,Journal of Building Engineering,Eliminated – Renewable-only
10.1016/j.enbuild.2020.110230,2020,A longitudinal analysis of energy consumption data from a high-performance building in the tropics,Energy and Buildings,Eliminated – unclear/other
10.1016/j.enbuild.2020.110303,2020,Do we need building performance data to propose a climatic zoning for building energy efficiency regulations?,Energy and Buildings,Eliminated – Planning/Top-down
10.1016/j.buildenv.2020.106958,2020,A novel methodology and new concept of structural dynamic moisture buffering for modeling building moisture dynamics,Building and Environment,Eliminated – unclear/other
10.1016/j.scs.2020.102321,2020,"Impact of correlation of plug load data, occupancy rates and local weather conditions on electricity consumption in a building using four back-propagation neural network models",Sustainable Cities and Society,KEEP – operational EE/control
10.1016/j.buildenv.2020.107079,2020,Virtual sensor-assisted <ce:italic>in situ</ce:italic> sensor calibration in operational HVAC systems,Building and Environment,KEEP – operational EE/control
10.1016/j.enbuild.2020.110359,2020,Active consumer participation in smart energy systems,Energy and Buildings,Eliminated – unclear/other
10.1016/j.scs.2020.102405,2020,Sustainable design of courtyard environment: From the perspectives of airborne diseases control and human health,Sustainable Cities and Society,KEEP – operational EE/control
10.1016/j.buildenv.2020.106735,2020,Theoretical model of buoyancy-driven air infiltration during heating/cooling seasons in large space buildings,Building and Environment,Eliminated – Ventilation/IAQ only
10.1016/j.apenergy.2020.115845,2020,Analysing natural ventilation to reduce the cooling energy consumption and the fuel poverty of social dwellings in coastal zones,Applied Energy,Eliminated – Ventilation/IAQ only
10.1016/j.enbuild.2020.110026,2020,In-situ sensor calibration in an operational air-handling unit coupling autoencoder and Bayesian inference,Energy and Buildings,KEEP – operational EE/control
10.1016/j.enbuild.2020.110300,2020,Establishment of a personalized occupant behavior identification model for occupant-centric buildings by considering cost sensitivity,Energy and Buildings,KEEP – operational EE/control
10.1016/j.jclepro.2019.118642,2020,Is there an economic case for energy-efficient dwellings in the UK private rental market?,Journal of Cleaner Production,Eliminated – unclear/other
10.1016/j.buildenv.2020.107361,2020,Feasibility and limitation of calculative determination of hygrothermal conditions in historical buildings: Case study of st. Martin church in Wiśniowa,Building and Environment,Eliminated – unclear/other
